"author","coauthors"
"Dominique Makowski","Pascale Piolino"
"Dominique Makowski","Marco Sperduti"
"Dominique Makowski","Serge Nicolas"
"Dominique Makowski","Daniel Lüdecke"
"Dominique Makowski","Philippe Blondé"
"Dominique Makowski","Tiziana Zalla"
"Dominique Makowski","Stephane Lemaire"
"Dominique Makowski","Mattan S. Ben-Shachar"
"Dominique Makowski","Sh Annabel Chen"
"Dominique Makowski","Léo Dutriaux"
"Dominique Makowski","Giuseppe Riva"
"Dominique Makowski","Silvia Serino"
"Dominique Makowski","Philip D. Waggoner"
"Dominique Makowski","Allan Armougum"
"Dominique Makowski","Sandrine Rossi"
"Dominique Makowski","Tam Pham"
"Dominique Makowski","Lau Zen Juen"
"Dominique Makowski","Jean-Charles Girardeau"
"Dominique Makowski","Adrian Raine"
"Dominique Makowski","La Corte Valentina"
"Marco Sperduti","Pascale Piolino"
"Marco Sperduti","Dominique Makowski"
"Marco Sperduti","Tiziana Zalla"
"Marco Sperduti","Catherine Oppenheim"
"Marco Sperduti","Serge Nicolas"
"Marco Sperduti","Krebs Marie-Odile"
"Marco Sperduti","Di Rienzo Franck, Phd."
"Marco Sperduti","Philippe Blondé"
"Marco Sperduti","Stephane Lemaire"
"Marco Sperduti","Eric Bertasi"
"Marco Sperduti","Aymeric Guillot"
"Marco Sperduti","Marion Leboyer"
"Marco Sperduti","Kouloud Abichou"
"Marco Sperduti","François Vialatte"
"Marco Sperduti","Giuseppina Porciello"
"Marco Sperduti","Laurie Compère"
"Marco Sperduti","Bufalari Ilaria"
"Marco Sperduti","Catherine Tallon-Baudry"
"Marco Sperduti","Allan Armougum"
"Marco Sperduti","Jean-Charles Girardeau"
"Serge Nicolas","Pascale Piolino"
"Serge Nicolas","Gaën Plancher"
"Serge Nicolas","Alessandro Guida"
"Serge Nicolas","Yannick Gounden"
"Serge Nicolas","Ludovic Ferrand"
"Serge Nicolas","Dominique Makowski"
"Serge Nicolas","Fernand Gobet"
"Serge Nicolas","Juan Segui"
